Stake	Date	Latitude	Longitude	Elevation	Days	SMB	t2m	sf	PDD
R1	2011-10-06	-62.1776204178	-58.902405662700005	82.0	14	0.0923	-5.0159383	0.0146555845	0.0
R1	2011-10-20	-62.1776204178	-58.902405662700005	82.0	14	0.02088	-1.5100281	0.02388516	0.20501709
R1	2011-11-17	-62.1776204178	-58.902405662700005	82.0	28	0.0746799999999999	-1.067266	0.08928436	1.1656799
R1	2011-12-04	-62.1776204178	-58.902405662700005	82.0	17	-0.0268199999999999	-1.5396152	0.03373712	0.36761475
R1	2011-12-19	-62.1776204178	-58.902405662700005	82.0	15	-0.24814	0.40043068	0.014183918	7.5870667
R1	2012-01-07	-62.1776204178	-58.902405662700005	82.0	19	-0.1983	-0.086573794	0.035416454	2.3020935
R1	2012-01-20	-62.1776204178	-58.902405662700005	82.0	13	-0.1679	0.5339508	0.0068713743	7.498413
R1	2012-02-04	-62.1776204178	-58.902405662700005	82.0	15	-0.419	0.41925812	0.007514103	7.4337463
R1	2012-02-19	-62.1776204178	-58.902405662700005	82.0	15	-0.225	0.4638672	0.012092486	13.036072
R1	2012-03-04	-62.1776204178	-58.902405662700005	82.0	14	-0.297	-0.4516866	0.004307989	8.433289
R1	2012-03-17	-62.1776204178	-58.902405662700005	82.0	13	-0.3239999999999999	1.0768106	0.0023677715	15.305054
R1	2012-03-30	-62.1776204178	-58.902405662700005	82.0	13	-0.009	-1.3196695	0.020559724	1.3808594
R13	2008-02-24	-62.170879157600005	-58.8585964292	84.0	7	-0.225	1.63731	0.002264136	13.09848
R13	2008-03-02	-62.170879157600005	-58.8585964292	84.0	7	-0.063	0.9488678	0.013735303	8.7283325
R13	2008-03-09	-62.170879157600005	-58.8585964292	84.0	7	-0.108	1.4438248	0.0007279159	11.550598
R13	2008-03-11	-62.170879157600005	-58.8585964292	84.0	2	-0.036	0.87998456	9.035191e-05	2.6399536
R13	2008-11-03	-62.170879157600005	-58.8585964292	84.0	237	1.41108	-2.6043077	0.47332162	19.321838
R13	2008-11-28	-62.170879157600005	-58.8585964292	84.0	25	-0.19676	-0.97690994	0.029026477	6.8499756
R13	2008-12-05	-62.170879157600005	-58.8585964292	84.0	7	-0.09647	0.27046585	0.0012413764	3.5434875
R13	2008-12-13	-62.170879157600005	-58.8585964292	84.0	8	0.02385	-0.58378094	0.012073622	0.23153687
R13	2008-12-19	-62.170879157600005	-58.8585964292	84.0	6	-0.0312199999999999	0.6246425	0.0023175448	5.0441895
R13	2008-12-26	-62.170879157600005	-58.8585964292	84.0	7	-0.10996	0.40315247	0.0033906763	3.9832764
R13	2009-01-02	-62.170879157600005	-58.8585964292	84.0	7	-0.0187399999999999	-0.13962555	0.012325124	0.6447449
R13	2009-01-09	-62.170879157600005	-58.8585964292	84.0	7	-0.05253	0.8462448	0.002064432	6.7699585
R13	2009-01-17	-62.170879157600005	-58.8585964292	84.0	8	-0.29537	1.4639452	0.000293431	13.175507
R13	2009-01-24	-62.170879157600005	-58.8585964292	84.0	7	-0.0149199999999999	0.7227478	0.028411277	5.7819824
R13	2009-01-30	-62.170879157600005	-58.8585964292	84.0	6	-0.16448	1.7281407	2.9863673e-05	12.096985
R13	2009-02-06	-62.170879157600005	-58.8585964292	84.0	7	0.01952	0.48431015	0.016314005	4.4192505
R13	2009-02-13	-62.170879157600005	-58.8585964292	84.0	7	-0.1239999999999999	1.3185349	0.0012940635	10.823334
R13	2009-02-21	-62.170879157600005	-58.8585964292	84.0	8	-0.0426	0.5964084	0.012193211	6.164978
R13	2009-02-28	-62.170879157600005	-58.8585964292	84.0	7	-0.216	0.9932442	0.0020260103	8.026642
R13	2009-03-01	-62.170879157600005	-58.8585964292	84.0	1	-0.0269999999999999	-0.13401794	0.0002932545	0.0
R13	2009-03-27	-62.170879157600005	-58.8585964292	84.0	26	-0.369	1.0140076	0.025321374	28.746216
R13	2009-11-12	-62.170879157600005	-58.8585964292	84.0	230	1.2507	-5.3375926	0.6426698	2.3023376
R13	2009-12-04	-62.170879157600005	-58.8585964292	84.0	22	-0.2111999999999999	-1.8456793	0.065111816	0.0
R13	2009-12-07	-62.170879157600005	-58.8585964292	84.0	3	-0.0071	-1.7945328	0.0055880835	0.0
R13	2009-12-13	-62.170879157600005	-58.8585964292	84.0	6	0.2652	-0.93201554	0.010531959	0.0
R13	2009-12-21	-62.170879157600005	-58.8585964292	84.0	8	-0.121	0.5584819	0.0031512156	5.2846985
R13	2009-12-28	-62.170879157600005	-58.8585964292	84.0	7	-0.1262	-0.11677933	0.023408907	1.5462341
R13	2010-01-11	-62.170879157600005	-58.8585964292	84.0	14	-0.0502999999999999	-0.7863424	0.010648394	0.16998291
R13	2010-01-18	-62.170879157600005	-58.8585964292	84.0	7	-0.1112	0.11400986	0.008060858	3.4516296
R13	2010-01-25	-62.170879157600005	-58.8585964292	84.0	7	-0.1014	0.5561333	0.0021831815	4.696289
R13	2010-02-01	-62.170879157600005	-58.8585964292	84.0	7	-0.0509	-0.10363388	0.010725727	1.5742493
R13	2010-02-15	-62.170879157600005	-58.8585964292	84.0	14	0.00509	-0.46312052	0.049813233	0.5852051
R13	2010-02-22	-62.170879157600005	-58.8585964292	84.0	7	-0.02149	-0.59298706	0.0009147107	1.23526
R13	2010-03-01	-62.170879157600005	-58.8585964292	84.0	7	0.0163999999999999	-0.7551956	0.021801475	1.0994263
R13	2010-03-08	-62.170879157600005	-58.8585964292	84.0	7	-0.1907999999999999	0.56402206	0.00042338844	6.633087
R13	2010-03-15	-62.170879157600005	-58.8585964292	84.0	7	0.0539999999999999	-0.6395149	0.0034119475	4.9003296
R13	2010-03-23	-62.170879157600005	-58.8585964292	84.0	8	-0.0539999999999999	-2.2018704	0.048686724	0.0
R13	2010-03-29	-62.170879157600005	-58.8585964292	84.0	6	-0.018	-0.7240993	0.010683358	1.6026917
R13	2010-04-05	-62.170879157600005	-58.8585964292	84.0	7	-0.0269999999999999	0.15907669	0.013702502	3.1018677
R13	2010-04-12	-62.170879157600005	-58.8585964292	84.0	7	-0.063	0.3054695	0.0030437382	3.4221191
R13	2010-04-14	-62.170879157600005	-58.8585964292	84.0	2	-0.0	0.15434773	0.0050344365	0.5704346
R13	2010-04-20	-62.170879157600005	-58.8585964292	84.0	6	-0.0	-3.3201468	0.028066674	1.2838745
R13	2010-04-27	-62.170879157600005	-58.8585964292	84.0	7	0.3487999999999999	-5.9558296	0.026480919	0.0
R13	2010-05-13	-62.170879157600005	-58.8585964292	84.0	16	0.01	-5.7175364	0.041929487	1.2400818
R13	2010-05-20	-62.170879157600005	-58.8585964292	84.0	7	0.02	-2.6341171	0.027070764	0.13366699
R13	2010-05-25	-62.170879157600005	-58.8585964292	84.0	5	0.05	-0.8814087	0.016589211	0.35198975
R13	2010-11-09	-62.170879157600005	-58.8585964292	84.0	168	0.8265	-2.8050585	0.40880233	2.5664673
R13	2010-11-29	-62.170879157600005	-58.8585964292	84.0	20	-0.0892	-0.39369565	0.04911595	1.4396057
R13	2010-12-11	-62.170879157600005	-58.8585964292	84.0	12	-0.0071	-1.5846487	0.03263874	0.0
R13	2010-12-21	-62.170879157600005	-58.8585964292	84.0	10	0.0032	-0.7779541	0.020274129	0.4883423
R13	2010-12-30	-62.170879157600005	-58.8585964292	84.0	9	-0.1032	0.23866272	0.021726163	3.2649536
R13	2011-01-07	-62.170879157600005	-58.8585964292	84.0	8	-0.1847999999999999	0.6348436	0.0040747523	5.797516
R13	2011-01-15	-62.170879157600005	-58.8585964292	84.0	8	-0.0607999999999999	-0.060014512	0.0051283604	0.6639404
R13	2011-01-23	-62.170879157600005	-58.8585964292	84.0	8	-0.0550999999999999	-0.38554212	0.0075311065	0.24761963
R13	2011-01-31	-62.170879157600005	-58.8585964292	84.0	8	-0.0252	0.7148234	0.012545605	6.5946045
R13	2011-02-07	-62.170879157600005	-58.8585964292	84.0	7	-0.0922999999999999	0.68670654	0.0076805633	5.4936523
R13	2011-02-15	-62.170879157600005	-58.8585964292	84.0	8	-0.197	1.3780179	0.01071994	12.402161
R13	2011-02-25	-62.170879157600005	-58.8585964292	84.0	10	-0.1942	1.691187	0.0053834277	18.603058
R13	2011-03-14	-62.170879157600005	-58.8585964292	84.0	17	-0.1974	1.2903222	0.007466525	24.647095
R13	2011-03-22	-62.170879157600005	-58.8585964292	84.0	8	-0.036	0.24828424	0.008176649	5.094269
R13	2011-04-06	-62.170879157600005	-58.8585964292	84.0	15	0.2826	-2.4021168	0.0475657	1.0421143
R13	2011-04-24	-62.170879157600005	-58.8585964292	84.0	18	-0.0	-4.47747	0.069366604	0.38934326
R13	2011-05-10	-62.170879157600005	-58.8585964292	84.0	16	0.0443	-5.7584496	0.04370143	0.0
R13	2011-05-24	-62.170879157600005	-58.8585964292	84.0	14	-0.0232999999999999	-3.2174866	0.020045154	0.78240967
